"","Cell","Batch","Group","ExpLibSize","Step"
"Cell113","Cell113","Batch1","Path3",7741.41212191899,626
"Cell114","Cell114","Batch1","Path1",8674.82669820141,581
"Cell115","Cell115","Batch1","Path3",8869.87816876073,78
"Cell116","Cell116","Batch1","Path3",7648.54365068073,291
"Cell117","Cell117","Batch1","Path2",8941.80712072664,532
"Cell118","Cell118","Batch1","Path2",8275.77475635998,153
"Cell119","Cell119","Batch1","Path1",8374.88614230252,796
"Cell120","Cell120","Batch1","Path1",8320.23292205394,573
"Cell121","Cell121","Batch1","Path1",8238.66715483531,295
"Cell122","Cell122","Batch1","Path2",8444.13208468063,437
"Cell123","Cell123","Batch1","Path3",8199.89520925189,457
"Cell124","Cell124","Batch1","Path1",7766.6941531349,41
"Cell125","Cell125","Batch1","Path1",8105.13703872869,994
"Cell126","Cell126","Batch1","Path3",7707.0710092414,743
"Cell127","Cell127","Batch1","Path1",8119.94333814272,356
"Cell128","Cell128","Batch1","Path1",8255.00725534611,707
"Cell129","Cell129","Batch1","Path1",8052.15621651865,570
"Cell130","Cell130","Batch1","Path1",7505.56307782939,147
"Cell131","Cell131","Batch1","Path1",7854.07119510665,271
"Cell132","Cell132","Batch1","Path2",7638.00221705242,660
"Cell133","Cell133","Batch1","Path1",8029.40670900269,141
"Cell134","Cell134","Batch1","Path3",8027.90646736623,229
"Cell135","Cell135","Batch1","Path1",8552.67100023928,659
"Cell136","Cell136","Batch1","Path2",8522.43527145244,132
"Cell137","Cell137","Batch1","Path3",8090.46118171534,262
"Cell138","Cell138","Batch1","Path2",8178.94078421132,236
"Cell139","Cell139","Batch1","Path2",7925.28307683081,179
"Cell140","Cell140","Batch1","Path2",8498.05736648241,85
"Cell141","Cell141","Batch1","Path2",7920.51487796306,100
"Cell142","Cell142","Batch1","Path1",8542.70446928015,881
"Cell143","Cell143","Batch1","Path1",8059.63749111793,170
"Cell144","Cell144","Batch1","Path2",8894.87550281897,46
"Cell145","Cell145","Batch1","Path1",9030.68958814742,424
"Cell146","Cell146","Batch1","Path3",8079.61865084738,592
"Cell147","Cell147","Batch1","Path1",8479.99771912082,232
"Cell148","Cell148","Batch1","Path1",8218.74469342721,462
"Cell149","Cell149","Batch1","Path2",8930.26361103691,84
"Cell150","Cell150","Batch1","Path2",8556.37816081985,589
"Cell151","Cell151","Batch1","Path2",8492.41329618855,718
"Cell152","Cell152","Batch1","Path3",7545.35301056983,218
"Cell153","Cell153","Batch1","Path1",7366.14736396292,499
"Cell154","Cell154","Batch1","Path1",8067.56453318987,796
"Cell155","Cell155","Batch1","Path3",7723.44236711131,703
"Cell156","Cell156","Batch1","Path1",8572.65205889843,904
"Cell157","Cell157","Batch1","Path3",8488.8395069712,500
"Cell158","Cell158","Batch1","Path1",7490.36828050909,718
"Cell159","Cell159","Batch1","Path1",8295.91033072315,86
"Cell160","Cell160","Batch1","Path1",7642.36804977563,389
"Cell161","Cell161","Batch1","Path2",7818.84716421492,292
"Cell162","Cell162","Batch1","Path2",8002.38376536577,463
"Cell163","Cell163","Batch1","Path1",7717.45420232908,41
"Cell164","Cell164","Batch1","Path2",8020.69863100034,429
"Cell165","Cell165","Batch1","Path1",7941.50138124759,313
"Cell166","Cell166","Batch1","Path1",7896.51665643572,209
"Cell167","Cell167","Batch1","Path2",7875.27951395161,156
"Cell168","Cell168","Batch1","Path3",8527.07566409623,993
"Cell169","Cell169","Batch1","Path2",8204.42094896501,795
"Cell170","Cell170","Batch1","Path3",8230.13226948082,478
"Cell171","Cell171","Batch1","Path1",8493.41854203978,331
"Cell172","Cell172","Batch1","Path2",8227.88352597326,803
"Cell173","Cell173","Batch1","Path2",7946.26050063399,975
"Cell174","Cell174","Batch1","Path3",7198.03265195448,932
"Cell175","Cell175","Batch1","Path1",7956.04208664518,598
"Cell176","Cell176","Batch1","Path1",8303.51470721631,840
"Cell177","Cell177","Batch1","Path2",8019.50586617614,27
"Cell178","Cell178","Batch1","Path1",8069.46368619187,549
"Cell179","Cell179","Batch1","Path1",7813.56914726262,366
"Cell180","Cell180","Batch1","Path1",8594.01774094048,183
"Cell181","Cell181","Batch1","Path3",8337.49995849129,240
"Cell182","Cell182","Batch1","Path1",8527.10177387705,543
"Cell183","Cell183","Batch1","Path1",8306.67258756766,212
"Cell184","Cell184","Batch1","Path3",7887.81042450757,648
"Cell185","Cell185","Batch1","Path3",8058.83362454813,216
"Cell186","Cell186","Batch1","Path3",8238.62036458306,600
"Cell187","Cell187","Batch1","Path1",7846.5678719828,828
"Cell188","Cell188","Batch1","Path1",8154.46816976313,816
"Cell189","Cell189","Batch1","Path1",8238.4653496132,351
"Cell190","Cell190","Batch1","Path3",7703.85112513337,886
"Cell191","Cell191","Batch1","Path2",7633.12593520026,992
"Cell192","Cell192","Batch1","Path1",8373.97906829016,769
"Cell193","Cell193","Batch1","Path2",8315.23157567073,485
"Cell194","Cell194","Batch1","Path1",7108.13715505127,626
"Cell195","Cell195","Batch1","Path3",8530.82983531901,464
"Cell196","Cell196","Batch1","Path3",7915.76395818249,732
"Cell197","Cell197","Batch1","Path3",8191.43753514543,696
"Cell198","Cell198","Batch1","Path3",8503.33521832687,409
"Cell199","Cell199","Batch1","Path3",8612.17752339051,864
"Cell200","Cell200","Batch1","Path3",8301.98012344535,790
"Cell201","Cell201","Batch1","Path3",8659.27445930088,478
"Cell202","Cell202","Batch1","Path3",8535.16141632488,599
"Cell203","Cell203","Batch1","Path2",8788.28364040144,457
"Cell204","Cell204","Batch1","Path2",8058.15990654115,602
"Cell205","Cell205","Batch1","Path1",8687.6291810713,977
"Cell206","Cell206","Batch1","Path2",8488.81950396013,429
"Cell207","Cell207","Batch1","Path1",8527.43949559092,417
"Cell208","Cell208","Batch1","Path2",7820.62920910664,204
"Cell209","Cell209","Batch1","Path1",7731.48777453251,68
"Cell210","Cell210","Batch1","Path2",8011.64635860557,577
"Cell211","Cell211","Batch1","Path3",7690.22240757992,42
"Cell212","Cell212","Batch1","Path3",8147.81348322604,112
"Cell213","Cell213","Batch1","Path1",8360.83958124274,252
"Cell214","Cell214","Batch1","Path1",8750.09536988105,939
"Cell215","Cell215","Batch1","Path3",8685.43874839694,837
"Cell216","Cell216","Batch1","Path2",8226.6236299126,534
"Cell217","Cell217","Batch1","Path2",7660.15704890509,66
"Cell218","Cell218","Batch1","Path1",8087.06576905319,203
"Cell219","Cell219","Batch1","Path3",7877.53883683819,880
"Cell220","Cell220","Batch1","Path3",8132.18597029005,366
"Cell221","Cell221","Batch1","Path3",7893.25560375859,321
"Cell222","Cell222","Batch1","Path2",8075.59316593039,824
"Cell223","Cell223","Batch1","Path1",8757.94648564867,990
"Cell224","Cell224","Batch1","Path2",9540.56053388382,862
"Cell225","Cell225","Batch1","Path3",7659.78666177576,665
"Cell226","Cell226","Batch1","Path3",7762.96256640178,563
"Cell227","Cell227","Batch1","Path2",8502.03086423448,670
"Cell228","Cell228","Batch1","Path3",7857.29483683868,64
"Cell229","Cell229","Batch1","Path1",8109.62143145528,459
"Cell230","Cell230","Batch1","Path1",7414.02502906139,674
"Cell231","Cell231","Batch1","Path1",8212.1644837721,856
"Cell232","Cell232","Batch1","Path1",7898.20313829787,689
"Cell233","Cell233","Batch1","Path2",7567.60793943183,993
"Cell234","Cell234","Batch1","Path2",7779.61372013024,718
"Cell235","Cell235","Batch1","Path2",8398.82945175236,583
"Cell236","Cell236","Batch1","Path1",8258.55927551357,913
"Cell237","Cell237","Batch1","Path1",8474.14582626713,977
"Cell238","Cell238","Batch1","Path3",7954.53823655055,795
"Cell239","Cell239","Batch1","Path2",8356.26051027383,124
"Cell240","Cell240","Batch1","Path1",7681.12209827328,445
"Cell241","Cell241","Batch1","Path2",8700.6238318812,866
"Cell242","Cell242","Batch1","Path3",8268.36632615732,518
"Cell243","Cell243","Batch1","Path2",7879.76234151564,705
"Cell244","Cell244","Batch1","Path1",7793.29498635609,347
"Cell245","Cell245","Batch1","Path3",7790.30565510098,796
"Cell246","Cell246","Batch1","Path3",8077.12183845149,504
"Cell247","Cell247","Batch1","Path2",8062.41141695762,561
"Cell248","Cell248","Batch1","Path3",7702.15941214679,400
"Cell249","Cell249","Batch1","Path3",8267.99473664209,911
"Cell250","Cell250","Batch1","Path3",7520.74402514682,210
"Cell251","Cell251","Batch1","Path3",7938.88201529984,77
"Cell252","Cell252","Batch1","Path3",8222.83173148025,440
"Cell253","Cell253","Batch1","Path1",7867.57601067694,223
"Cell254","Cell254","Batch1","Path1",8824.05569174636,770
"Cell255","Cell255","Batch1","Path3",8169.4219502904,467
"Cell256","Cell256","Batch1","Path1",7440.74139960963,788
"Cell257","Cell257","Batch1","Path3",7585.59456424438,174
"Cell258","Cell258","Batch1","Path2",8174.70010050642,924
"Cell259","Cell259","Batch1","Path3",8757.06140597814,65
"Cell260","Cell260","Batch1","Path1",7451.95632148102,545
"Cell261","Cell261","Batch1","Path3",8366.71620555734,263
"Cell262","Cell262","Batch1","Path3",8111.04395167293,464
"Cell263","Cell263","Batch1","Path3",7718.13299990629,854
"Cell264","Cell264","Batch1","Path2",8209.82045885941,397
"Cell265","Cell265","Batch1","Path1",8982.63037413211,392
"Cell266","Cell266","Batch1","Path3",8073.69149738632,445
"Cell267","Cell267","Batch1","Path3",8157.9082965225,973
"Cell268","Cell268","Batch1","Path3",8200.14106301672,198
"Cell269","Cell269","Batch1","Path3",7921.20304470175,262
"Cell270","Cell270","Batch1","Path1",9249.70693981129,81
"Cell271","Cell271","Batch1","Path2",7981.25093667257,54
"Cell272","Cell272","Batch1","Path3",7775.61348260969,668
"Cell273","Cell273","Batch1","Path2",8352.55398733174,102
"Cell274","Cell274","Batch1","Path3",7780.01081617682,874
"Cell275","Cell275","Batch1","Path3",7568.79360826895,654
"Cell276","Cell276","Batch1","Path2",7876.07480255926,71
"Cell277","Cell277","Batch1","Path2",8051.53043745311,438
"Cell278","Cell278","Batch1","Path2",7821.22071743249,961
"Cell279","Cell279","Batch1","Path2",8190.61070193127,315
"Cell280","Cell280","Batch1","Path3",8022.2435094384,562
"Cell281","Cell281","Batch1","Path3",7573.8058960357,522
"Cell282","Cell282","Batch1","Path1",8366.19868982409,854
"Cell283","Cell283","Batch1","Path2",8115.62936176731,334
"Cell284","Cell284","Batch1","Path2",7954.33986259733,444
"Cell285","Cell285","Batch1","Path1",8354.93700107597,15
"Cell286","Cell286","Batch1","Path2",7520.78337126567,399
"Cell287","Cell287","Batch1","Path1",8296.51920437313,828
"Cell288","Cell288","Batch1","Path1",8302.95895673465,821
"Cell289","Cell289","Batch1","Path1",8013.65094289092,129
"Cell290","Cell290","Batch1","Path3",7640.97264378652,568
"Cell291","Cell291","Batch1","Path3",8145.75658135481,683
"Cell292","Cell292","Batch1","Path3",8235.4530713153,372
"Cell293","Cell293","Batch1","Path1",7962.86989113021,864
"Cell294","Cell294","Batch1","Path3",8234.18937603324,648
"Cell295","Cell295","Batch1","Path2",7735.68412162277,53
"Cell296","Cell296","Batch1","Path1",7980.28757009037,233
"Cell297","Cell297","Batch1","Path1",8098.53791008344,751
"Cell298","Cell298","Batch1","Path1",8152.61717513783,205
"Cell299","Cell299","Batch1","Path2",8413.9064506906,333
"Cell300","Cell300","Batch1","Path3",7654.75759547937,338
"Cell301","Cell301","Batch1","Path3",8390.34363020362,333
"Cell302","Cell302","Batch1","Path2",7812.29581518733,756
"Cell303","Cell303","Batch1","Path1",8299.38726746707,974
"Cell304","Cell304","Batch1","Path3",7982.91115208215,553
"Cell305","Cell305","Batch1","Path3",8438.94456536683,626
"Cell306","Cell306","Batch1","Path2",7608.82068745129,965
"Cell307","Cell307","Batch1","Path1",8389.4979794935,404
"Cell308","Cell308","Batch1","Path1",8467.98905830021,523
"Cell309","Cell309","Batch1","Path2",8790.38619679401,981
"Cell310","Cell310","Batch1","Path3",7776.85726886123,228
"Cell311","Cell311","Batch1","Path2",7885.46056960156,588
"Cell312","Cell312","Batch1","Path3",8175.45313272898,634
"Cell313","Cell313","Batch1","Path2",8021.93960622078,766
"Cell314","Cell314","Batch1","Path1",8776.82764826808,355
"Cell315","Cell315","Batch1","Path1",7974.12153289055,81
"Cell316","Cell316","Batch1","Path1",8394.33303629449,44
"Cell317","Cell317","Batch1","Path1",8319.59536772427,491
"Cell318","Cell318","Batch1","Path3",7859.67373098196,218
"Cell319","Cell319","Batch1","Path3",8648.77286161738,475
"Cell320","Cell320","Batch1","Path1",8207.1788129517,861
"Cell321","Cell321","Batch1","Path3",8464.68430978387,116
"Cell322","Cell322","Batch1","Path3",8215.59018021557,7
"Cell323","Cell323","Batch1","Path2",7889.59808203266,289
"Cell324","Cell324","Batch1","Path2",8052.69376983058,963
"Cell325","Cell325","Batch1","Path3",7818.55856805449,39
"Cell326","Cell326","Batch1","Path2",8450.66815714806,661
"Cell327","Cell327","Batch1","Path2",8851.30402017776,126
"Cell328","Cell328","Batch1","Path2",8551.13152591942,362
"Cell329","Cell329","Batch1","Path2",7752.36501881066,597
"Cell330","Cell330","Batch1","Path2",8632.63822601058,421
"Cell331","Cell331","Batch1","Path2",8266.62100316594,842
"Cell332","Cell332","Batch1","Path3",8882.95008430269,445
"Cell333","Cell333","Batch1","Path2",8333.13306818501,747
"Cell334","Cell334","Batch1","Path1",7441.66274792025,762
"Cell335","Cell335","Batch1","Path1",8661.07101355639,723
"Cell336","Cell336","Batch1","Path1",8442.73928489751,449
"Cell337","Cell337","Batch1","Path3",8848.20367142969,250
"Cell338","Cell338","Batch1","Path1",8219.83010978392,460
"Cell339","Cell339","Batch1","Path3",7371.64425593303,785
"Cell340","Cell340","Batch1","Path1",7855.31890989081,966
"Cell341","Cell341","Batch1","Path1",8358.38227668423,642
"Cell342","Cell342","Batch1","Path1",8511.60615748253,555
"Cell343","Cell343","Batch1","Path1",7859.35833122048,588
"Cell344","Cell344","Batch1","Path1",7823.74630578499,777
"Cell345","Cell345","Batch1","Path3",8538.62916704774,557
"Cell346","Cell346","Batch1","Path2",7831.21255503344,80
"Cell347","Cell347","Batch1","Path1",8443.50914016864,133
"Cell348","Cell348","Batch1","Path1",8147.54983535776,929
"Cell349","Cell349","Batch1","Path2",8117.03784147373,376
"Cell350","Cell350","Batch1","Path2",7782.73447539672,305
"Cell351","Cell351","Batch1","Path2",8035.27655573029,111
"Cell352","Cell352","Batch1","Path2",8696.50210768516,373
"Cell353","Cell353","Batch1","Path3",8186.79138273059,24
"Cell354","Cell354","Batch1","Path1",7789.5621995001,201
"Cell355","Cell355","Batch1","Path2",7977.8147769671,274
"Cell356","Cell356","Batch1","Path3",8424.25336878247,137
"Cell357","Cell357","Batch1","Path3",7520.71336372277,28
"Cell358","Cell358","Batch1","Path1",8283.17026976904,534
"Cell359","Cell359","Batch1","Path2",7237.75017550377,85
"Cell360","Cell360","Batch1","Path1",7687.96227907906,80
"Cell361","Cell361","Batch1","Path3",7896.26511029587,583
"Cell362","Cell362","Batch1","Path2",8443.99573832889,798
"Cell363","Cell363","Batch1","Path1",7760.47442358529,265
"Cell364","Cell364","Batch1","Path1",8189.14430887863,523
"Cell365","Cell365","Batch1","Path3",8280.68687303975,14
"Cell366","Cell366","Batch1","Path3",8775.77546462099,750
"Cell367","Cell367","Batch1","Path2",8312.4170555618,671
"Cell368","Cell368","Batch1","Path2",8037.70150517568,194
"Cell369","Cell369","Batch1","Path1",7737.37558719781,287
"Cell370","Cell370","Batch1","Path2",7501.62641076079,233
"Cell371","Cell371","Batch1","Path1",8327.41753234375,280
"Cell372","Cell372","Batch1","Path3",8270.21139669845,695
"Cell373","Cell373","Batch1","Path3",7545.34242688697,607
"Cell374","Cell374","Batch1","Path1",8358.90126112631,101
"Cell375","Cell375","Batch1","Path3",8584.15999960823,894
"Cell376","Cell376","Batch1","Path1",8180.19169466672,335
"Cell377","Cell377","Batch1","Path2",8543.93842591562,994
"Cell378","Cell378","Batch1","Path3",7999.35780127068,522
"Cell379","Cell379","Batch1","Path1",8575.40756188714,180
"Cell380","Cell380","Batch1","Path3",7201.34933298593,435
"Cell381","Cell381","Batch1","Path2",8141.12248991212,350
"Cell382","Cell382","Batch1","Path3",8233.68465843326,555
"Cell383","Cell383","Batch1","Path2",7998.158230159,964
"Cell384","Cell384","Batch1","Path3",8650.25821472524,717
"Cell385","Cell385","Batch1","Path1",8348.69835280014,478
"Cell386","Cell386","Batch1","Path3",8031.25741626397,576
"Cell387","Cell387","Batch1","Path3",8335.82949555586,815
"Cell388","Cell388","Batch1","Path3",7971.77308811998,350
"Cell389","Cell389","Batch1","Path2",8206.71416002955,52
"Cell390","Cell390","Batch1","Path3",7968.35222083674,600
"Cell391","Cell391","Batch1","Path1",6972.81102348266,659
"Cell392","Cell392","Batch1","Path3",8216.58862616572,701
"Cell393","Cell393","Batch1","Path2",7593.52315570178,114
"Cell394","Cell394","Batch1","Path2",8388.52558875853,493
"Cell395","Cell395","Batch1","Path2",7952.86184905121,363
"Cell396","Cell396","Batch1","Path3",7932.73091690788,962
"Cell397","Cell397","Batch1","Path3",8050.11855811812,947
"Cell398","Cell398","Batch1","Path2",8349.29004100843,678
"Cell399","Cell399","Batch1","Path1",7625.84580257348,6
"Cell400","Cell400","Batch1","Path1",8383.99474663313,133
"Cell401","Cell401","Batch1","Path2",8655.71130736115,654
"Cell402","Cell402","Batch1","Path1",7210.78294823654,952
"Cell403","Cell403","Batch1","Path3",8029.23782999807,217
"Cell404","Cell404","Batch1","Path1",8224.52336323383,526
"Cell405","Cell405","Batch1","Path2",8424.66727089435,374
"Cell406","Cell406","Batch1","Path1",7421.0902379063,242
"Cell407","Cell407","Batch1","Path1",8137.11994596554,510
"Cell408","Cell408","Batch1","Path3",7909.54012170407,926
"Cell409","Cell409","Batch1","Path2",8620.83767225604,137
"Cell410","Cell410","Batch1","Path2",8188.54159525155,497
"Cell411","Cell411","Batch1","Path1",8658.91286192639,142
"Cell412","Cell412","Batch1","Path1",7943.06864350964,465
"Cell413","Cell413","Batch1","Path2",8558.29658095671,248
"Cell414","Cell414","Batch1","Path2",8184.0480576496,16
"Cell415","Cell415","Batch1","Path1",8338.89301111257,996
"Cell416","Cell416","Batch1","Path3",7880.0579216267,753
"Cell417","Cell417","Batch1","Path2",7677.85630863972,850
"Cell418","Cell418","Batch1","Path3",7712.42055492532,131
"Cell419","Cell419","Batch1","Path2",8111.71779224547,400
"Cell420","Cell420","Batch1","Path3",8464.07745571418,526
"Cell421","Cell421","Batch1","Path3",8767.08862813387,912
"Cell422","Cell422","Batch1","Path2",8009.33131980336,971
"Cell423","Cell423","Batch1","Path2",8301.81658536383,126
"Cell424","Cell424","Batch1","Path2",7821.32331308099,598
"Cell425","Cell425","Batch1","Path1",8241.90745174296,675
"Cell426","Cell426","Batch1","Path3",8169.33992773759,335
"Cell427","Cell427","Batch1","Path3",7946.36044126078,580
"Cell428","Cell428","Batch1","Path1",8212.90441971795,689
"Cell429","Cell429","Batch1","Path1",7768.29276226788,414
"Cell430","Cell430","Batch1","Path3",7792.19581989463,481
"Cell431","Cell431","Batch1","Path2",8435.18010163049,664
"Cell432","Cell432","Batch1","Path3",8244.6686936135,455
"Cell433","Cell433","Batch1","Path1",8005.596249415,795
"Cell434","Cell434","Batch1","Path3",7650.04482259289,174
"Cell435","Cell435","Batch1","Path2",7910.04650586068,290
"Cell436","Cell436","Batch1","Path3",9067.52803748458,42
"Cell437","Cell437","Batch1","Path3",7434.06365131907,352
"Cell438","Cell438","Batch1","Path3",7967.78985230676,862
"Cell439","Cell439","Batch1","Path2",8245.1219874124,399
"Cell440","Cell440","Batch1","Path1",7753.83829931264,275
"Cell441","Cell441","Batch1","Path3",7866.311484692,703
"Cell442","Cell442","Batch1","Path3",7543.76670166839,155
"Cell443","Cell443","Batch1","Path1",8449.34683596511,625
"Cell444","Cell444","Batch1","Path2",8135.16032687808,355
"Cell445","Cell445","Batch1","Path3",9065.53528443504,272
"Cell446","Cell446","Batch1","Path3",7996.36635263934,630
"Cell447","Cell447","Batch1","Path1",8147.29724561934,112
"Cell448","Cell448","Batch1","Path1",8028.20445309903,710
"Cell449","Cell449","Batch1","Path3",7711.15236546374,651
"Cell450","Cell450","Batch1","Path2",8345.88649591579,611
"Cell451","Cell451","Batch1","Path2",6916.38542436724,542
"Cell452","Cell452","Batch1","Path2",8202.86381317881,277
"Cell453","Cell453","Batch1","Path3",7746.64730536765,908
"Cell454","Cell454","Batch1","Path3",6958.54014137136,884
"Cell455","Cell455","Batch1","Path1",7344.79336274961,762
"Cell456","Cell456","Batch1","Path2",7811.74733485963,859
"Cell457","Cell457","Batch1","Path3",8160.03907663941,841
"Cell458","Cell458","Batch1","Path3",8253.41400049757,585
"Cell459","Cell459","Batch1","Path3",7647.01544800036,580
"Cell460","Cell460","Batch1","Path1",8614.06605797411,630
"Cell461","Cell461","Batch1","Path2",7700.7526483936,311
"Cell462","Cell462","Batch1","Path1",8537.35229565327,225
"Cell463","Cell463","Batch1","Path2",8421.36754282273,65
"Cell464","Cell464","Batch1","Path3",8170.92959879041,552
"Cell465","Cell465","Batch1","Path1",8091.61551454433,844
