"","Cell","Batch","Group","ExpLibSize","Step"
"Cell75","Cell75","Batch1","Path1",22463.9634977481,723
"Cell77","Cell77","Batch1","Path1",22688.2976445509,965
"Cell79","Cell79","Batch1","Path1",22261.0234438804,569
"Cell80","Cell80","Batch1","Path2",24196.6157571547,929
"Cell82","Cell82","Batch1","Path1",20496.5733635888,499
"Cell83","Cell83","Batch1","Path2",21212.813895981,415
"Cell84","Cell84","Batch1","Path1",22859.5145524872,418
"Cell85","Cell85","Batch1","Path1",20495.2074830434,401
"Cell86","Cell86","Batch1","Path2",21613.0482821339,618
"Cell87","Cell87","Batch1","Path1",20445.972448129,727
"Cell88","Cell88","Batch1","Path1",22488.7604634287,993
"Cell90","Cell90","Batch1","Path1",22357.7792888681,691
"Cell92","Cell92","Batch1","Path2",22124.5882212699,960
"Cell93","Cell93","Batch1","Path1",23810.8000126332,873
"Cell95","Cell95","Batch1","Path1",22866.7237423162,469
"Cell97","Cell97","Batch1","Path1",22337.6555740168,814
"Cell99","Cell99","Batch1","Path1",21177.1773716426,723
"Cell100","Cell100","Batch1","Path2",22064.7094514362,850
"Cell101","Cell101","Batch1","Path2",21471.8612897975,569
"Cell103","Cell103","Batch1","Path2",21511.3222524413,682
"Cell104","Cell104","Batch1","Path3",22118.8308748316,516
"Cell105","Cell105","Batch1","Path3",23019.4718572408,650
"Cell106","Cell106","Batch1","Path3",23939.513996853,426
"Cell107","Cell107","Batch1","Path2",22934.5648112644,604
"Cell108","Cell108","Batch1","Path3",20862.1521442275,587
"Cell110","Cell110","Batch1","Path3",23813.136788202,414
"Cell111","Cell111","Batch1","Path2",22538.7122913855,682
"Cell112","Cell112","Batch1","Path3",21622.0692248632,811
"Cell116","Cell116","Batch1","Path2",24131.2028028708,902
"Cell117","Cell117","Batch1","Path2",22118.7556639162,864
"Cell120","Cell120","Batch1","Path2",20698.2115738073,471
"Cell121","Cell121","Batch1","Path2",21455.5455321738,513
"Cell123","Cell123","Batch1","Path1",24440.7359427967,722
"Cell124","Cell124","Batch1","Path2",22508.479105678,787
"Cell128","Cell128","Batch1","Path1",23430.0447634469,678
"Cell129","Cell129","Batch1","Path1",21710.0094877439,696
"Cell130","Cell130","Batch1","Path1",23107.9063505765,469
"Cell133","Cell133","Batch1","Path2",21158.7402576471,437
"Cell136","Cell136","Batch1","Path3",22528.9739537941,851
"Cell139","Cell139","Batch1","Path3",24194.432586332,585
"Cell142","Cell142","Batch1","Path1",21196.2226392334,893
"Cell143","Cell143","Batch1","Path2",20978.3563129166,855
"Cell144","Cell144","Batch1","Path1",27319.5362640182,909
"Cell145","Cell145","Batch1","Path2",21051.2762103162,639
"Cell146","Cell146","Batch1","Path3",21372.2047095286,497
"Cell148","Cell148","Batch1","Path1",20437.0767271212,447
"Cell149","Cell149","Batch1","Path1",20009.2036523628,669
"Cell151","Cell151","Batch1","Path3",22759.1407228054,654
"Cell152","Cell152","Batch1","Path3",21027.2689454084,919
"Cell154","Cell154","Batch1","Path1",19857.1986644727,982
"Cell155","Cell155","Batch1","Path1",22435.4372897209,748
"Cell156","Cell156","Batch1","Path1",21491.2813059171,703
"Cell157","Cell157","Batch1","Path3",21951.8018183384,454
"Cell161","Cell161","Batch1","Path2",21913.9621355746,698
"Cell162","Cell162","Batch1","Path1",22152.7309412597,605
"Cell164","Cell164","Batch1","Path2",21486.81780428,695
"Cell167","Cell167","Batch1","Path3",20831.121879471,488
"Cell168","Cell168","Batch1","Path2",20605.4411179877,980
"Cell169","Cell169","Batch1","Path2",20675.3940177627,539
"Cell170","Cell170","Batch1","Path3",22844.1663811768,571
"Cell171","Cell171","Batch1","Path2",21786.1001046349,942
"Cell173","Cell173","Batch1","Path3",20865.3844568788,489
"Cell174","Cell174","Batch1","Path1",21421.9507272269,644
"Cell177","Cell177","Batch1","Path3",21771.4018016168,744
"Cell178","Cell178","Batch1","Path3",22937.7709187073,730
"Cell179","Cell179","Batch1","Path1",22413.4384070075,880
"Cell183","Cell183","Batch1","Path1",21435.5256380926,764
"Cell184","Cell184","Batch1","Path3",21792.4989269055,404
"Cell188","Cell188","Batch1","Path2",21626.3554661307,838
"Cell189","Cell189","Batch1","Path2",22501.2579575056,575
"Cell191","Cell191","Batch1","Path3",23836.7678478782,675
"Cell192","Cell192","Batch1","Path1",21168.336674962,925
"Cell193","Cell193","Batch1","Path3",21973.6369096694,812
"Cell194","Cell194","Batch1","Path1",21987.5825740668,428
"Cell195","Cell195","Batch1","Path3",22073.6226123597,520
"Cell196","Cell196","Batch1","Path3",23649.5848866105,985
"Cell198","Cell198","Batch1","Path1",22032.1540361812,852
"Cell200","Cell200","Batch1","Path2",20958.3236868405,909
"Cell201","Cell201","Batch1","Path1",21868.6992462852,974
"Cell203","Cell203","Batch1","Path3",22414.0488396381,923
"Cell204","Cell204","Batch1","Path3",22316.0675592493,456
"Cell205","Cell205","Batch1","Path2",21555.9383790831,876
"Cell207","Cell207","Batch1","Path1",23635.5065996041,714
"Cell209","Cell209","Batch1","Path1",22181.5341392108,855
"Cell211","Cell211","Batch1","Path2",21687.6766320641,564
"Cell213","Cell213","Batch1","Path3",22541.9296151349,510
"Cell214","Cell214","Batch1","Path3",20470.1436625154,788
"Cell215","Cell215","Batch1","Path3",22432.1344268363,734
"Cell216","Cell216","Batch1","Path3",20435.9189125346,995
"Cell217","Cell217","Batch1","Path2",20428.7771973442,548
"Cell218","Cell218","Batch1","Path1",21843.6884616252,573
"Cell219","Cell219","Batch1","Path3",21842.5575974939,819
"Cell220","Cell220","Batch1","Path2",22085.7552572033,923
"Cell223","Cell223","Batch1","Path3",22757.569540729,592
"Cell226","Cell226","Batch1","Path1",21298.8530790225,400
"Cell228","Cell228","Batch1","Path3",22637.8180617053,764
"Cell232","Cell232","Batch1","Path1",22081.7193699727,735
"Cell233","Cell233","Batch1","Path3",20210.9001136393,812
"Cell234","Cell234","Batch1","Path2",22577.9055526348,508
"Cell241","Cell241","Batch1","Path1",21771.5244456378,987
"Cell245","Cell245","Batch1","Path1",21484.645147304,577
"Cell246","Cell246","Batch1","Path2",20203.1848145736,793
"Cell247","Cell247","Batch1","Path2",21287.3740438069,632
"Cell248","Cell248","Batch1","Path3",21671.8913657088,801
"Cell253","Cell253","Batch1","Path3",20872.9114320348,885
"Cell255","Cell255","Batch1","Path2",22148.749137459,400
"Cell257","Cell257","Batch1","Path3",23315.6410437082,411
"Cell259","Cell259","Batch1","Path3",22672.5538272602,848
"Cell260","Cell260","Batch1","Path3",23568.4876188265,795
"Cell264","Cell264","Batch1","Path1",21495.9382967498,430
"Cell265","Cell265","Batch1","Path1",21913.4199847587,625
"Cell267","Cell267","Batch1","Path2",22710.0374251971,861
"Cell268","Cell268","Batch1","Path1",21048.7945105648,499
"Cell271","Cell271","Batch1","Path1",21782.0009577066,884
"Cell272","Cell272","Batch1","Path2",22770.9430598592,788
"Cell273","Cell273","Batch1","Path3",22029.0078098949,817
"Cell277","Cell277","Batch1","Path3",23830.2805699912,708
"Cell280","Cell280","Batch1","Path3",22810.0283852578,494
"Cell283","Cell283","Batch1","Path2",23262.7321025174,812
"Cell287","Cell287","Batch1","Path3",21254.0453195732,409
"Cell288","Cell288","Batch1","Path1",22796.4295325579,894
"Cell289","Cell289","Batch1","Path1",20804.2963105033,442
"Cell290","Cell290","Batch1","Path3",22708.9800301523,848
"Cell291","Cell291","Batch1","Path2",22713.4276942494,751
"Cell292","Cell292","Batch1","Path3",21699.4765660351,520
"Cell293","Cell293","Batch1","Path1",22816.3872260645,411
"Cell295","Cell295","Batch1","Path3",21250.8456180108,820
"Cell297","Cell297","Batch1","Path2",22526.3688357026,521
"Cell299","Cell299","Batch1","Path2",23350.0620398371,598
"Cell306","Cell306","Batch1","Path3",21505.7898541595,934
"Cell307","Cell307","Batch1","Path2",20928.472394991,437
"Cell308","Cell308","Batch1","Path2",20928.2560902908,485
"Cell309","Cell309","Batch1","Path2",22204.3014514226,973
"Cell311","Cell311","Batch1","Path2",21593.564884579,525
"Cell314","Cell314","Batch1","Path2",24448.4783938737,822
"Cell315","Cell315","Batch1","Path3",22836.4209980113,954
"Cell316","Cell316","Batch1","Path1",21418.6952121086,494
"Cell317","Cell317","Batch1","Path3",23984.9335171928,890
"Cell319","Cell319","Batch1","Path1",21267.7761931162,788
"Cell320","Cell320","Batch1","Path3",19876.278078602,792
"Cell321","Cell321","Batch1","Path2",24044.2397647182,670
"Cell322","Cell322","Batch1","Path3",21219.3305573229,813
"Cell325","Cell325","Batch1","Path2",23101.5685497355,448
"Cell327","Cell327","Batch1","Path2",21724.824098879,674
"Cell329","Cell329","Batch1","Path1",21251.973779616,564
"Cell330","Cell330","Batch1","Path1",20819.3613244638,824
"Cell331","Cell331","Batch1","Path2",22343.9170968085,903
"Cell332","Cell332","Batch1","Path3",21664.4077452217,567
"Cell333","Cell333","Batch1","Path2",20998.1963164288,504
"Cell334","Cell334","Batch1","Path2",20816.5934340696,522
"Cell335","Cell335","Batch1","Path1",21863.4026335962,898
"Cell336","Cell336","Batch1","Path3",21898.1858084411,946
"Cell342","Cell342","Batch1","Path2",21828.5075455538,826
"Cell343","Cell343","Batch1","Path2",20834.5937973019,429
"Cell345","Cell345","Batch1","Path2",22317.2583762595,875
"Cell346","Cell346","Batch1","Path2",20960.048671624,710
"Cell347","Cell347","Batch1","Path3",23007.6140087389,962
"Cell349","Cell349","Batch1","Path2",22230.3085511505,934
"Cell352","Cell352","Batch1","Path2",21962.5136936628,440
"Cell356","Cell356","Batch1","Path3",22527.6194842729,605
"Cell357","Cell357","Batch1","Path2",23420.9774067166,676
"Cell361","Cell361","Batch1","Path1",18663.3141068167,982
"Cell363","Cell363","Batch1","Path1",21732.6775517913,1000
"Cell364","Cell364","Batch1","Path2",22219.4964217248,727
"Cell365","Cell365","Batch1","Path2",22778.3856500739,816
"Cell368","Cell368","Batch1","Path1",21025.5543934406,429
"Cell371","Cell371","Batch1","Path2",20739.5868169763,535
"Cell372","Cell372","Batch1","Path2",22290.4452645988,811
"Cell374","Cell374","Batch1","Path3",22198.6545153138,906
"Cell375","Cell375","Batch1","Path1",23141.1550527646,998
"Cell378","Cell378","Batch1","Path1",22461.0504773486,632
"Cell379","Cell379","Batch1","Path3",23443.4040234664,490
"Cell380","Cell380","Batch1","Path3",23246.0810761573,532
"Cell381","Cell381","Batch1","Path1",21892.0571380536,473
"Cell383","Cell383","Batch1","Path1",23127.1226810323,661
"Cell384","Cell384","Batch1","Path2",21462.8595190139,666
"Cell385","Cell385","Batch1","Path1",20339.8082395346,749
"Cell386","Cell386","Batch1","Path2",22708.2747441597,822
"Cell387","Cell387","Batch1","Path3",20789.9931312273,946
"Cell388","Cell388","Batch1","Path1",24460.8118885527,516
"Cell389","Cell389","Batch1","Path2",22873.4262563536,712
"Cell390","Cell390","Batch1","Path2",23465.3902654345,476
"Cell391","Cell391","Batch1","Path1",21930.1587334616,606
"Cell393","Cell393","Batch1","Path3",21734.7816211926,828
"Cell397","Cell397","Batch1","Path2",21988.598186817,579
"Cell400","Cell400","Batch1","Path3",21459.3593335991,588
"Cell401","Cell401","Batch1","Path2",22252.1441687694,834
"Cell402","Cell402","Batch1","Path2",22701.0522420532,522
"Cell403","Cell403","Batch1","Path3",22897.1233326256,611
"Cell406","Cell406","Batch1","Path1",22714.7293594,767
"Cell407","Cell407","Batch1","Path1",22771.6714222012,478
"Cell409","Cell409","Batch1","Path2",20150.9447569232,955
"Cell412","Cell412","Batch1","Path1",20577.823358555,466
"Cell413","Cell413","Batch1","Path2",22036.0334055165,885
"Cell415","Cell415","Batch1","Path1",21641.1188787551,795
"Cell416","Cell416","Batch1","Path3",21480.4152039747,867
"Cell417","Cell417","Batch1","Path1",22916.3366621242,721
"Cell418","Cell418","Batch1","Path1",21155.9132528919,603
"Cell419","Cell419","Batch1","Path3",21325.6808755033,839
"Cell423","Cell423","Batch1","Path3",20922.3854728747,996
"Cell431","Cell431","Batch1","Path1",22914.5509465405,524
"Cell432","Cell432","Batch1","Path2",21276.5057208642,586
"Cell433","Cell433","Batch1","Path3",21024.6626327632,723
"Cell435","Cell435","Batch1","Path3",21774.9556929474,583
"Cell436","Cell436","Batch1","Path2",21838.5761312617,843
"Cell439","Cell439","Batch1","Path3",21675.2874901189,481
"Cell442","Cell442","Batch1","Path3",20674.0559184658,575
"Cell444","Cell444","Batch1","Path2",20482.1859653221,873
"Cell445","Cell445","Batch1","Path3",22605.8783545646,865
"Cell447","Cell447","Batch1","Path3",21810.6146750111,890
"Cell448","Cell448","Batch1","Path2",23348.9582009845,700
"Cell449","Cell449","Batch1","Path1",21874.0523264201,858
"Cell450","Cell450","Batch1","Path1",21328.0281077449,801
"Cell451","Cell451","Batch1","Path1",19891.9986579935,656
"Cell452","Cell452","Batch1","Path3",21615.0402148724,519
"Cell453","Cell453","Batch1","Path2",22468.34948452,769
"Cell454","Cell454","Batch1","Path1",21228.2612922393,521
"Cell456","Cell456","Batch1","Path1",22014.9068088535,630
"Cell457","Cell457","Batch1","Path2",22565.8014215068,765
"Cell458","Cell458","Batch1","Path1",22785.9140547686,489
"Cell459","Cell459","Batch1","Path3",23087.6632041128,741
"Cell462","Cell462","Batch1","Path1",24508.094202055,594
"Cell463","Cell463","Batch1","Path2",22152.9194492209,998
"Cell465","Cell465","Batch1","Path2",19436.0243873059,979
"Cell467","Cell467","Batch1","Path2",22511.2144435163,403
"Cell468","Cell468","Batch1","Path2",24796.6367232146,945
"Cell469","Cell469","Batch1","Path2",22681.550298095,777
"Cell471","Cell471","Batch1","Path2",22900.5760648352,713
"Cell477","Cell477","Batch1","Path3",23038.1949378888,922
"Cell478","Cell478","Batch1","Path1",21969.102184745,521
"Cell479","Cell479","Batch1","Path1",21753.4493368797,541
"Cell483","Cell483","Batch1","Path1",21825.6631794239,421
"Cell484","Cell484","Batch1","Path3",20097.5765044231,515
"Cell486","Cell486","Batch1","Path3",21538.1091276485,571
"Cell487","Cell487","Batch1","Path2",23093.8736634389,494
"Cell488","Cell488","Batch1","Path2",22096.3544228617,926
"Cell491","Cell491","Batch1","Path3",21703.969781941,846
"Cell493","Cell493","Batch1","Path1",21092.8730989406,465
"Cell494","Cell494","Batch1","Path1",23866.975195339,637
"Cell495","Cell495","Batch1","Path2",22030.3912928126,767
"Cell496","Cell496","Batch1","Path3",20521.4057096716,974
"Cell498","Cell498","Batch1","Path1",23571.6960396379,757
"Cell499","Cell499","Batch1","Path2",20870.8777471002,513
"Cell500","Cell500","Batch1","Path2",24544.4067989254,1000
"Cell501","Cell501","Batch1","Path1",22534.5181869985,583
"Cell503","Cell503","Batch1","Path1",23179.191729386,479
"Cell504","Cell504","Batch1","Path2",24089.5829796939,688
"Cell508","Cell508","Batch1","Path2",21224.8798006946,931
"Cell509","Cell509","Batch1","Path2",23625.5366156784,462
"Cell511","Cell511","Batch1","Path3",23068.1240651369,643
"Cell514","Cell514","Batch1","Path2",23368.0206061015,983
"Cell517","Cell517","Batch1","Path2",21476.5597787106,772
"Cell519","Cell519","Batch1","Path1",22282.7838741863,929
"Cell522","Cell522","Batch1","Path2",22760.4113604635,777
"Cell523","Cell523","Batch1","Path1",21419.6657790197,945
"Cell525","Cell525","Batch1","Path3",21388.5051004523,899
"Cell526","Cell526","Batch1","Path2",21032.0005009019,994
"Cell528","Cell528","Batch1","Path2",23095.8343145026,754
"Cell529","Cell529","Batch1","Path1",22607.4827532735,974
"Cell530","Cell530","Batch1","Path3",22202.7124272776,930
"Cell531","Cell531","Batch1","Path2",22703.2126483525,724
"Cell535","Cell535","Batch1","Path3",21242.5755740571,563
"Cell536","Cell536","Batch1","Path3",21994.5261844934,472
"Cell537","Cell537","Batch1","Path2",21651.4170638796,745
"Cell541","Cell541","Batch1","Path1",21128.7949538213,751
"Cell542","Cell542","Batch1","Path3",22152.5223198808,763
"Cell543","Cell543","Batch1","Path3",20603.6414215112,581
"Cell544","Cell544","Batch1","Path1",22906.4713094335,444
"Cell546","Cell546","Batch1","Path1",23713.1700462718,428
"Cell547","Cell547","Batch1","Path1",23201.1266266484,665
"Cell548","Cell548","Batch1","Path3",22280.1935068584,469
"Cell549","Cell549","Batch1","Path2",23385.9179442075,578
"Cell551","Cell551","Batch1","Path3",22052.2605819674,695
"Cell552","Cell552","Batch1","Path2",21359.1978078507,454
"Cell553","Cell553","Batch1","Path2",23063.786887732,884
"Cell556","Cell556","Batch1","Path1",21479.0922575001,935
"Cell557","Cell557","Batch1","Path1",20791.3489619249,791
"Cell561","Cell561","Batch1","Path1",22492.7531967445,909
"Cell562","Cell562","Batch1","Path1",21722.8628990245,626
"Cell564","Cell564","Batch1","Path2",20225.5063496479,729
"Cell566","Cell566","Batch1","Path3",21956.3483934756,468
"Cell568","Cell568","Batch1","Path2",23364.1630190894,554
"Cell569","Cell569","Batch1","Path3",21561.8032038969,940
"Cell571","Cell571","Batch1","Path3",23340.7243473014,769
"Cell572","Cell572","Batch1","Path2",23028.2995848335,422
"Cell574","Cell574","Batch1","Path1",20937.3264952378,714
"Cell575","Cell575","Batch1","Path3",22714.6040898475,970
"Cell577","Cell577","Batch1","Path1",22150.388080876,784
"Cell578","Cell578","Batch1","Path3",24076.5094994192,898
"Cell579","Cell579","Batch1","Path3",22276.8549029165,789
"Cell580","Cell580","Batch1","Path3",22491.6943852356,556
"Cell581","Cell581","Batch1","Path2",20195.4201445189,542
"Cell583","Cell583","Batch1","Path3",21344.2948438689,644
"Cell585","Cell585","Batch1","Path3",21010.1153426073,789
"Cell586","Cell586","Batch1","Path3",21246.5407792559,488
"Cell587","Cell587","Batch1","Path1",21510.1048135819,662
"Cell588","Cell588","Batch1","Path1",22739.5686129548,758
"Cell590","Cell590","Batch1","Path1",21869.2834678905,792
"Cell594","Cell594","Batch1","Path2",22867.3848028965,794
"Cell595","Cell595","Batch1","Path3",21717.366844434,584
"Cell596","Cell596","Batch1","Path2",21776.7897554512,410
"Cell598","Cell598","Batch1","Path2",20699.7714497466,663
"Cell599","Cell599","Batch1","Path1",22289.0334603064,637
"Cell600","Cell600","Batch1","Path2",23057.9526265393,717
"Cell601","Cell601","Batch1","Path1",21420.3688001954,534
"Cell602","Cell602","Batch1","Path2",22146.375973249,791
"Cell603","Cell603","Batch1","Path2",21816.7911898956,733
"Cell604","Cell604","Batch1","Path3",21560.8546298709,874
"Cell605","Cell605","Batch1","Path1",24911.6834605199,868
"Cell606","Cell606","Batch1","Path1",22472.1110880899,854
"Cell607","Cell607","Batch1","Path2",22165.7148258843,537
"Cell608","Cell608","Batch1","Path1",23671.8705044401,724
"Cell613","Cell613","Batch1","Path2",21820.7124116846,434
"Cell614","Cell614","Batch1","Path3",22015.3476153296,715
"Cell615","Cell615","Batch1","Path3",23632.1252295751,643
"Cell616","Cell616","Batch1","Path3",22833.2962106518,559
"Cell617","Cell617","Batch1","Path2",21354.3358206152,778
"Cell618","Cell618","Batch1","Path2",21189.5500965418,469
"Cell620","Cell620","Batch1","Path2",23297.8950128398,598
"Cell621","Cell621","Batch1","Path3",20780.1476254124,402
"Cell624","Cell624","Batch1","Path3",21807.4760430303,539
"Cell625","Cell625","Batch1","Path1",22226.5791756173,712
"Cell626","Cell626","Batch1","Path1",23709.1479834327,979
"Cell627","Cell627","Batch1","Path2",22342.587784627,797
"Cell629","Cell629","Batch1","Path1",21387.4504086538,891
"Cell634","Cell634","Batch1","Path2",22048.6210080062,486
"Cell635","Cell635","Batch1","Path1",22875.5911144776,437
"Cell637","Cell637","Batch1","Path3",22488.8458400765,876
"Cell638","Cell638","Batch1","Path1",23176.9207166048,573
"Cell641","Cell641","Batch1","Path1",21658.6746131274,755
"Cell643","Cell643","Batch1","Path1",20977.4128638777,826
"Cell644","Cell644","Batch1","Path1",21937.1491734433,462
"Cell645","Cell645","Batch1","Path3",22578.4295410003,652
"Cell646","Cell646","Batch1","Path1",22458.1908569897,732
"Cell647","Cell647","Batch1","Path3",23207.9104212811,677
"Cell648","Cell648","Batch1","Path3",22926.7032955789,809
"Cell649","Cell649","Batch1","Path3",21983.2657972262,721
"Cell650","Cell650","Batch1","Path2",22300.0595604635,847
"Cell651","Cell651","Batch1","Path3",21628.9888709328,890
"Cell652","Cell652","Batch1","Path3",24337.7220103549,791
"Cell654","Cell654","Batch1","Path1",23193.1685841897,485
"Cell655","Cell655","Batch1","Path2",23679.5292353813,587
"Cell657","Cell657","Batch1","Path2",22539.5540444673,427
"Cell658","Cell658","Batch1","Path3",22658.6502616217,801
"Cell659","Cell659","Batch1","Path2",21209.5314671462,645
"Cell660","Cell660","Batch1","Path2",21470.6345192608,745
"Cell661","Cell661","Batch1","Path1",21364.7590697222,807
"Cell667","Cell667","Batch1","Path2",21295.2023236123,422
"Cell671","Cell671","Batch1","Path2",20893.2714866474,731
"Cell672","Cell672","Batch1","Path1",24350.9176187802,549
"Cell673","Cell673","Batch1","Path1",21463.3845552887,438
"Cell675","Cell675","Batch1","Path1",20075.7689276731,904
"Cell676","Cell676","Batch1","Path1",21113.3605188313,805
"Cell677","Cell677","Batch1","Path2",21769.5726088393,533
"Cell678","Cell678","Batch1","Path1",22644.596890022,921
"Cell681","Cell681","Batch1","Path3",21128.5025242143,919
"Cell682","Cell682","Batch1","Path3",21804.9573675133,515
"Cell684","Cell684","Batch1","Path2",21308.592715855,957
"Cell685","Cell685","Batch1","Path3",20159.3295246999,635
"Cell688","Cell688","Batch1","Path1",23135.4491654303,903
"Cell690","Cell690","Batch1","Path2",21759.8745993048,759
"Cell692","Cell692","Batch1","Path3",21292.1194950828,600
"Cell694","Cell694","Batch1","Path2",23843.8262190059,680
"Cell696","Cell696","Batch1","Path3",22684.5087851072,433
"Cell699","Cell699","Batch1","Path1",22664.0788187545,765
"Cell700","Cell700","Batch1","Path1",20322.7300558696,820
"Cell701","Cell701","Batch1","Path2",22861.1452358934,825
"Cell703","Cell703","Batch1","Path3",20824.5250051479,902
"Cell704","Cell704","Batch1","Path3",22965.4995002981,445
"Cell706","Cell706","Batch1","Path3",23145.955096677,605
"Cell708","Cell708","Batch1","Path2",22393.4832920468,693
"Cell709","Cell709","Batch1","Path3",23205.9141920354,593
"Cell711","Cell711","Batch1","Path3",22491.4209973974,898
"Cell712","Cell712","Batch1","Path2",22154.2328460381,682
"Cell714","Cell714","Batch1","Path3",22830.8356231336,589
"Cell716","Cell716","Batch1","Path3",22239.1938720369,917
"Cell717","Cell717","Batch1","Path2",20652.9664838257,763
"Cell719","Cell719","Batch1","Path2",23626.2276202569,928
"Cell721","Cell721","Batch1","Path2",21920.0632416973,463
"Cell724","Cell724","Batch1","Path3",21666.1307748288,667
"Cell725","Cell725","Batch1","Path1",22932.2723076491,709
"Cell727","Cell727","Batch1","Path1",23042.7890050951,669
"Cell728","Cell728","Batch1","Path3",22219.5368129107,885
"Cell729","Cell729","Batch1","Path3",21614.9673774691,719
"Cell730","Cell730","Batch1","Path1",21766.0443942222,423
"Cell731","Cell731","Batch1","Path3",22197.3108751772,781
"Cell732","Cell732","Batch1","Path2",20594.1785796964,447
"Cell734","Cell734","Batch1","Path1",19817.1014692264,787
"Cell735","Cell735","Batch1","Path1",23080.8707072563,837
"Cell736","Cell736","Batch1","Path3",21767.9591610039,582
"Cell742","Cell742","Batch1","Path1",22623.3350924116,735
"Cell743","Cell743","Batch1","Path2",21682.2542271678,998
"Cell745","Cell745","Batch1","Path1",21314.8327519343,666
"Cell746","Cell746","Batch1","Path3",24636.4349882398,483
"Cell748","Cell748","Batch1","Path1",22758.7720517293,584
"Cell749","Cell749","Batch1","Path1",21836.7033190082,986
"Cell751","Cell751","Batch1","Path3",22056.2723785498,655
"Cell753","Cell753","Batch1","Path3",21155.3385618672,671
"Cell754","Cell754","Batch1","Path3",22937.1547202983,563
"Cell756","Cell756","Batch1","Path1",22078.264181857,582
"Cell759","Cell759","Batch1","Path1",22855.6689300587,657
"Cell760","Cell760","Batch1","Path2",22696.0072057801,862
"Cell761","Cell761","Batch1","Path3",21381.5408799976,440
"Cell762","Cell762","Batch1","Path3",20691.8819030842,883
"Cell763","Cell763","Batch1","Path3",21263.5921428342,478
"Cell764","Cell764","Batch1","Path1",22594.7758893444,535
"Cell766","Cell766","Batch1","Path3",21849.1748445255,996
"Cell767","Cell767","Batch1","Path1",22078.4145746632,421
"Cell769","Cell769","Batch1","Path1",21028.6227875689,641
"Cell770","Cell770","Batch1","Path3",22312.0236452668,507
"Cell771","Cell771","Batch1","Path3",20446.7293725574,495
"Cell772","Cell772","Batch1","Path2",23285.5174242125,551
"Cell774","Cell774","Batch1","Path2",20371.0771479887,993
"Cell777","Cell777","Batch1","Path2",23599.0230615091,585
"Cell778","Cell778","Batch1","Path3",20345.8661426038,585
"Cell780","Cell780","Batch1","Path2",22788.3187518798,527
"Cell781","Cell781","Batch1","Path2",22090.8509982227,988
"Cell783","Cell783","Batch1","Path3",22191.3863858879,779
"Cell784","Cell784","Batch1","Path3",22517.4512379408,906
"Cell786","Cell786","Batch1","Path3",22784.1047469286,604
"Cell787","Cell787","Batch1","Path3",21747.9597617311,873
"Cell790","Cell790","Batch1","Path2",22180.3968894687,877
"Cell791","Cell791","Batch1","Path1",22049.111357638,728
"Cell792","Cell792","Batch1","Path1",23113.4440052234,688
"Cell793","Cell793","Batch1","Path3",21088.0447817855,410
"Cell794","Cell794","Batch1","Path1",21316.2665577007,788
"Cell795","Cell795","Batch1","Path2",21256.6676992762,424
"Cell796","Cell796","Batch1","Path2",20665.1811104991,567
"Cell799","Cell799","Batch1","Path3",21313.5631971227,894
"Cell802","Cell802","Batch1","Path1",21297.4142675189,473
